,returns,TRFUS,dl_AVBLS,dl_BLCHS,dl_CPTRA,dl_DIFF,dl_ETRVU,dl_HRATE,dl_MIREV,dl_MKPRU,dl_MKTCP,dl_MWNTD,dl_MWNUS,dl_MWTRV,dl_NADDU,dl_NTRAN,dl_NTRAT,dl_NTRBL,dl_NTREP,dl_TOTBC,dl_TOUTV,dl_FFER,dl_BTC=F,d_CL=F,dl_CNYUSD=X,dl_NDAQ,dl_SPY,dl_^DJI,dl_tweet,d_ATRCT,d_CPTRV,d_ETRAV,d_TRFEE,d_TRVOU,d_XRP-USD,d_^GVZ,d_^VIX,d_GPRD,d_CNEPU,d_gtrends,rv_d,rv_m,rv_w
2017-12-19,-8.641541756711659,12117323.339276,0.017243689425064358,0.006756252446391732,-0.1641999750925434,0.08641023379514212,-0.2554830371302684,-0.26236426447044153,-0.17334475053305587,-0.0667702685951004,-0.06666580026092157,-0.14632251350338904,0.0010361057963997912,0.06603269258051694,-0.0384829232879729,-0.04041897846696326,0.00010834663302545852,0.2219452859997677,-0.038350428026924975,0.00010446833462353713,-0.4149601620196753,0.0,-0.048266740969834514,0.299999237060554,0.00010585824880738542,-0.011235867234053822,-0.0038479809271733194,-0.0015116662669193335,-0.15330951657401104,-0.15000000000000036,0.014717408908679896,-46076.51763549002,75.47002169999996,194189179.8399999,0.012850046157836914,0.3899993896484393,0.4999999999999982,11.244789123535156,-50.8060015239843,12.336999999999989,193.4184086333295,89.89356633183982,75.0748191542787
2017-12-20,-4.773672736985414,14609416.9187,0.011852909037704957,-0.004757348640157826,-0.03289876372404595,5.337952302396328e-13,0.3119649284019345,-0.02898753687202611,-0.0810149840127553,-0.020169883410967118,-0.048912048840450376,-0.003195503454134076,0.006516933725731029,0.30301195585100577,-0.03885970917446495,-0.02228697171963905,0.0025280695893137506,0.0067005651536121875,-0.02884395643936843,2.536923428326334e-05,0.11548090495824873,0.0,-0.06585807268157999,0.6300010681152273,0.0013918703714555824,-0.014025160041209855,-0.0005242181825756229,-0.0011357646377745053,0.19286833509482174,-0.1999999999999993,-0.322293486421,108853.06142499999,248.99623741000005,-234099506.15419984,-0.015293002128601074,-0.5299997329711932,-0.30999946594238104,14.413040161132812,-10.428020822000796,104.86700000000002,266.4719236282961,98.51461772228114,98.7183109205731
2017-12-21,-6.232720654434053,18113814.193,-0.03230986640423694,0.0009298060025143468,0.16205290059018276,-5.339062525423804e-13,-0.3134035391142508,-0.029852963147420423,0.06561725393051403,-0.07993556813165888,-0.05099345089657302,-0.22856727166548582,0.0008467859910171916,-0.44121465823593037,-0.015488302966481791,-0.09868307048361714,0.001178776827902969,-0.06883010733405523,-0.10068968495088002,0.00017458256904533646,-0.2182259167746058,0.0,-0.10575182851744695,0.2700004577636719,0.0038378818339770172,0.0046526459942415705,0.00205744438292568,0.0022476221834909047,0.04278075455150401,0.0,0.41348547142741,-90019.09605960999,217.16992760999995,7861234.654200077,0.41709601879119873,-0.14999961853027344,-0.10000038146972656,1.0828475952148438,26.063605165301695,-86.36099999999999,177.3787367098662,103.5360172875564,118.6306271757442
2017-12-22,-15.06022841748821,21285645.3877237,0.022491998284562737,0.006736382060894837,-0.05576448246400944,0.0,0.16039961697825322,0.16062319433161606,0.11730800680362868,-0.054854170699462114,-0.05473854517976609,-0.006526249137152642,0.0025084641310703882,0.0767572755222293,0.057760017511340855,0.1263067598622308,0.0001103498043212153,-0.03431643447052443,0.12450100163433013,0.00011562552114295354,0.05992529141380299,0.0,-0.08115770173816905,0.1100006103515554,-0.0008660156511355161,0.009109577452633313,-0.0002617043578173527,-0.0011397092802835757,0.16609710598950012,-0.40000000000000036,-0.04613600186640987,59579.16295261003,367.18480696000006,3362923786.1099997,-0.05478000640869096,0.3699998855590856,0.2799997329711914,-24.148681640625,-19.933538342059194,296.09599999999995,762.9578157207695,128.6508123597321,221.0718020899206
2017-12-23,-0.1998753041332951,16368134.3728,-0.0021495924896844354,-0.004623710240456452,0.10550436348263996,5.337952302396328e-13,-0.5840801052327876,-0.10895118378955684,-0.15758368456284272,-0.09772730004202955,-0.050207076666636714,-0.05382688901942281,0.005455722829431082,-0.35808308350253265,-0.19949532372527562,-0.21109045020914866,0.0023057340819109145,-0.10213926642104948,-0.2156797222811911,4.027929965287543e-05,-0.06544394746874536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2195205402552919,3.1666666666667,0.5667669734799998,-130540.04631000003,-430.3308824999999,-3593532782.6556997,0.03605997562408403,0.0,0.0,-2.8088150024414062,26.624115028256497,-234.40899999999993,190.6106106882056,134.7008709013984,244.8395558225686
2017-12-24,1.492565021667579,12290916.0865,0.003864927947570239,0.0010934985991264295,-0.006540658807484609,-5.339062525423804e-13,0.026353733836051208,0.0894065877133501,-0.10577045648792237,0.012448140121468746,-0.03485504176541165,0.18811571070009564,0.00035712027098949164,-0.13593666043025907,-0.11218055423587506,-0.09770003434601819,0.0009787282747878052,-0.1871066220628658,-0.0816160500476728,0.0001767621870756562,-0.22149919077779978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3453871589207493,3.3301361668236495e-11,-0.22945564844770994,22139.84469353,-184.49423200000012,39685444.7657001,-0.13039004802703902,0.0,0.0,22.353851318359375,24.753968766153207,-92.53000000000003,294.9273080204682,143.4636456448082,280.1430084054376
2017-12-25,1.465797104675227,9798349.38333829,-0.01266930475965812,0.006715452158671226,0.043638959515723816,0.0,-0.004580946755971543,-0.11860574240769002,-0.10635701215111062,0.012103048041541966,0.012203721398965328,-0.14253614740656528,0.003597289576934118,-0.0012370272687931365,-0.14340989993620362,-0.19968577178562438,0.00010623505747049711,-0.08108002937605904,-0.21236622300195448,0.00010067335568820835,0.23786871555945127,0.0,0.0,0.0,0.001033168687776339,0.0,0.0,0.0,-0.10142644145130167,-3.1500000000000004,-0.18508962910228988,-4186.416824529995,-191.72695079999994,-664055369.4100001,0.07837009429931707,0.0,0.0,-15.916244506835938,-39.647413310492006,-49.349999999999994,102.1238207939607,146.3948204006651,283.9840891706994
2017-12-26,13.56128107487329,11609290.5386,-0.00041201682215087393,-0.004751203553655937,0.10907237940789491,5.337952302396328e-13,0.23045423941746523,0.05055227916490783,0.13925782426923217,-0.027143716929472914,0.08952196407134716,0.06090589010501541,0.0019857517436646104,0.136802589960626,0.06968068636450009,0.07776932114968473,0.001559519721265857,0.027217041988226384,0.07087827437784024,5.1451357040966514e-05,0.1880441314751934,0.0,0.11040613086440133,1.5,0.006068353158876563,0.0005254770628256993,-0.0011967808346076852,-0.0003171541975592678,0.1928496869333197,2.5083333332999995,-0.07090372519999999,19845.690873000014,36.22940612000002,-145786767.12900007,0.06716990470886186,1.1599998474121112,0.35000038146972656,24.33965301513672,29.976735344155806,0.0,69.34105559079278,147.7470608038438,266.2587530217656
2017-12-27,-1.470507091133265,12234766.5881,0.016319928017889247,0.0011224616121242013,-0.1541873705090112,-5.339062525423804e-13,0.40943739561352627,0.09402894964803568,0.0655829873663979,0.12620647348200995,0.009762983713575885,0.010893282565866158,0.00255009292653559,0.4936700500489302,0.2123579100703341,0.2177686408960947,0.0010742886160808858,0.12373969124436399,0.23317875416755585,0.00017073988193328757,0.061393277290317856,0.0,-0.07189313182416902,-0.3300018310546804,-0.0006574198938695869,0.0027546818897908163,0.0004866477526069689,0.0011344732026292187,0.016856914452726416,0.0,-0.3421791596415231,106398.51110600002,59.193305359999954,630942816.0590001,0.21015000343322798,-0.44000053405762074,0.22000026702881037,17.602424621582003,-28.68124400472901,-12.336999999999989,89.36212538714798,149.8609621294183,240.9573532730301
2017-12-28,-8.627408516599482,11228111.8367905,0.0145141729301145,0.006695073452434893,-0.11171412478326118,0.0,-0.27798887051699633,-0.04590970130222967,-0.09392954635258385,-0.0807073701518742,-0.0805962930406624,0.049267708731243434,0.00057118443592618,-0.28676389615963055,-0.010336314421297612,-0.008451237270036974,0.00010638758258516686,0.037458464036121755,-0.009706804377533589,0.00011107710887408064,-0.11681042566065238,0.0,-0.06649186856857688,0.20000076293945312,-0.0017712863775525395,0.004313338548564188,0.0020552143113945986,0.0025481439955433176,0.012583847536954991,-5.24166666667,0.13370392244152307,-53088.566565000016,1.0167681599999696,264225604.26,0.031239986419677068,-0.2999992370605504,-0.2899999618530309,12.926002502441406,31.103256806943506,0.0,172.2115603760682,155.1392266856619,240.2191852253447
